topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
210,"mr grinstein, astar, mr carty, grinstein, atsb, dhl airways, lycoming, judge eugene, stabilization board, lakefield, carty said, transportation stabilization, nmb, alpa, retired pilots",1539,2002-06,2020-04,45,47
211,"ben veniste, veniste, ms druyun, mr roemer, pdb, mr gorton, dr rice, mr tenet, druyun, ms gorelick, atty, mr kerrey, 2148, director freeh, mr fielding",1820,2002-06,2021-05,53,57
212,"waitz, mr gaither, ingenix, make wish, gift programs, matching gift, picower, gaither, alicea, gebrselassie, trolli, ridgley, santas, greenwich house, charitable lead",270,2002-07,2011-04,11,11
213,"expungement, problem drinkers, harm reduction, pappa, smokeless tobacco, cannabidiol, alcohol cocaine, cronos, dr schaffner, hemp, smokeless, cannabis, schaffner said, reproduction number, milligrams deciliter",40,2002-07,2019-01,8,8
214,"pct pt, fairtax, pass throughs, salt deduction, jct, 17 850, standard deduction, pass businesses, amt, border adjustment, 526 38, amt relief, global minimum, local deduction, credits effective",1993,2002-07,2021-10,65,65
215,"utility computing, blade servers, icn, mr dorman, incyte, fon, kulicke, mr joy, adc, ip telephony, broadwing, ic mobile, ms bernard, worldcom customers, andiamo systems",179,2002-08,2014-07,13,13
216,"eddington said, mr eddington, mr kley, eddington, kley, kley said, cologne bonn, auriongold, euro disney, virgin blue, studios park, apinan, suncorp, british air, gourgeon said",96,2002-08,2013-02,8,8
217,"kewaunee, mr rey, kinnard, tsukada, peanut growers, corteva, fsc, stonyfield, nominal dollar, land link, green chemistry, hcci, coliform bacteria, harl, wehrum",149,2002-08,2020-11,17,17
218,"ilwu, pma, taft hartley, maritime association, pacific maritime, hartley act, longshore, warehouse union, longshore warehouse, international longshore, coast docks, port employers, dockworkers, outside ports, 29 ports",91,2002-10,2021-11,11,11
219,"alh, osisko, monitise, jos bank, babcock brown, coles myer, enrc, actelion, opes, men wearhouse, hiland, mr charney, wearhouse, mondavi, arcandor",1067,2002-10,2016-04,25,25
220,"outlier payments, syncor, mr barbakow, barbakow, redding medical, alere, aetna humana, medinol, tenet hospitals, tenet hospital, subsys, tenet said, guidant, team health, alere said",80,2002-11,2016-12,8,8
221,"uici, best contract, ms borzi, asset accounts, oringer, kanam, 403 plans, day compound, mr jabre, db real, compound yield, bluecrest, gemunder, ms braga, weddle said",268,2002-11,2016-08,13,13
222,"free dividends, taxation dividends, mr sears, heesen said, dividend taxes, free dividend, dividend tax, dividends tax, dividend break, corporate dividends, wiederhorn, mr heesen, dividends exempt, taxed corporate, ending double",43,2003-01,2006-04,4,4
223,"gehman, mr albaugh, mr rutan, rutan, usada, orbiter, meteorites, shuttle columbia, shuttle program, meteors, manned space, albaugh, mr tito, space adventures, space alliance",150,2003-02,2013-02,24,24
224,"mr engles, mr lenny, mr stitzer, stevia, stitzer, mr demos, bilbrey, mr isdell, engles, mr bilbrey, haggen, hershey trust, ubiquiti, ms rosenfeld, mr hees",3902,2003-02,2019-12,98,107
225,"esrey, messrs esrey, esrey lemay, mr esrey, sprint executives, lemay, sprint stock, mr lemay, used sprint, ronald lemay, tax shelter, forsee, mr forsee, william esrey, merger worldcom",16,2003-02,2003-03,2,2
226,"peirano, promotional allowances, foodservice, vendor rebates, foodservice unit, ahold, der hoeven, pya, pya monarch, ruiter, meurs, ahold said, usf, ahold announced, nash finch",46,2003-02,2003-10,6,6
227,"mccary, republican guard, mr arnett, mr sadr, najaf, fallujah, karbala, actus, battalion seventh, nasiriyah, khafaji, chalabi, mr brahimi, war coverage, brahimi",558,2003-03,2007-11,12,15
228,"advanced bonds, outside stocks, terms dow, excluding stocks, action stocks, mr levkovich, contracts gained, levkovich, compared open, invested yield, declined bonds, mixed late, puts traded, downside insurance, broad standard",213,2003-03,2013-08,10,14
229,"sars patients, ms vinson, wuhan institute, sars symptoms, sars cases, coronaviruses, cases sars, stohr, ecohealth, zmapp, jallah, china cdc, dr li, civets, dr tedros",1431,2003-03,2021-10,43,56
